L,44
R,35
R,4
L,40
L,13
L,7
L,33
L,8
L,44
L,39
L,45
R,30
R,38
L,10
L,40
L,8
L,10
L,27
L,47
R,31
R,41
L,21
R,5
L,38
R,41
L,35
R,16
R,44
L,37
L,28
L,36
R,5
R,25
R,36
R,16
L,21
L,23
L,46
L,36
R,27
R,43
R,48
L,14
L,26
R,24
L,18
L,23
R,39
L,30
R,84
L,79
L,73
R,17
R,9
L,9
L,30
R,74
L,44
L,67
L,19
L,14
L,23
R,23
R,62
L,70
R,96
R,12
L,37
R,47
L,43
L,28
L,39
L,13
L,85
R,12
L,55
L,22
L,39
R,37
R,36
L,17
R,46
R,91
R,49
R,62
L,52
R,50
R,81
L,54
R,73
L,62
R,73
R,66
L,92
R,31
L,98
L,59
R,78
L,80
R,45
L,2
R,67
L,677
L,39
R,3
R,575
R,71
R,19
L,29
L,38
R,20
R,776
R,3
L,12
L,43
R,99
L,795
R,40
L,49
R,609
R,81
R,19
L,91
R,14
L,14
R,192
R,99
R,92
R,34
L,26
L,12
R,84
R,31
L,3
L,348
R,98
R,50
R,40
L,40
L,459
L,96
L,203
L,836
R,35
R,74
L,96
R,681
R,91
R,9
L,41
R,41
R,99
L,99
L,3
R,3
R,429
R,45
L,74
L,101
R,901
L,43
R,18
R,25
L,2
L,18
R,61
L,42
L,30
L,39
L,376
R,55
R,52
R,6
R,77
R,90
R,66
L,71
R,59
L,88
R,380
R,58
R,949
L,87
R,48
L,22
L,13
L,92
R,90
R,61
R,28
L,54
R,54
R,33
R,180
L,8
L,5
L,20
L,53
L,27
L,90
L,372
R,562
L,53
R,29
R,93
R,40
R,20
R,71
L,31
R,843
L,12
L,49
R,749
L,30
L,70
L,90
L,64
L,84
R,23
L,85
R,251
R,53
R,91
L,95
L,62
R,93
R,69
R,283
R,88
R,29
R,99
R,97
R,4
R,38
R,93
R,69
L,705
L,32
R,879
L,96
R,77
L,61
R,62
L,24
L,94
R,33
L,167
R,537
L,96
L,13
R,860
L,90
L,993
R,86
L,56
L,7
L,76
L,13
R,89
R,38
L,246
R,88
R,93
L,64
L,38
L,571
R,16
R,5
R,74
L,43
L,78
L,77
L,75
L,26
R,4
R,21
R,43
R,18
R,11
R,7
L,423
R,23
R,13
L,139
R,6
L,56
R,76
L,937
L,10
R,47
L,29
L,28
R,782
L,25
L,20
L,13
R,40
R,40
R,88
L,46
L,61
L,85
L,67
L,82
R,20
R,84
R,921
R,81
L,67
L,47
R,96
R,33
L,15
L,18
R,408
L,90
L,67
L,5
L,928
R,16
L,47
L,76
R,19
R,88
L,47
L,302
L,320
L,97
L,21
L,13
L,13
L,41
L,46
R,79
L,495
R,96
R,32
R,72
R,16
L,95
R,95
R,28
R,944
R,428
L,10
R,40
R,48
R,9
R,642
R,71
L,5
L,84
L,82
L,65
L,637
R,73
L,80
L,20
L,80
R,18
R,62
L,25
R,30
L,85
L,9
R,285
R,54
L,16
R,30
R,36
L,64
L,393
L,943
L,646
R,446
R,73
L,73
R,16
R,55
R,29
L,3
L,397
R,8
L,88
L,520
R,50
R,149
R,98
R,703
R,89
L,255
L,34
R,323
L,70
R,96
L,74
R,25
R,44
R,96
R,47
R,32
R,7
R,47
R,27
L,908
L,9
L,91
R,8
L,50
R,50
L,22
R,17
R,23
R,21
R,18
R,43
R,92
L,92
R,489
R,11
L,74
R,80
L,23
R,876
L,80
L,79
L,42
R,91
L,13
L,33
L,39
L,54
L,77
R,12
L,245
L,6
L,42
L,52
L,52
L,46
L,2
L,97
L,36
R,33
L,29
R,57
R,12
L,86
R,234
L,69
R,42
L,15
R,38
R,16
L,98
L,202
L,232
R,48
R,84
R,93
R,35
L,10
R,33
L,51
R,89
L,889
L,87
R,487
R,518
R,82
R,404
R,54
R,88
L,46
L,31
L,969
R,29
R,72
L,701
L,966
L,20
R,86
L,480
R,41
L,61
L,96
L,17
L,31
L,97
L,52
R,70
R,14
R,17
L,40
R,583
R,49
R,38
R,62
L,92
L,455
L,44
L,56
L,92
R,39
L,97
L,403
R,67
L,70
R,59
R,79
R,765
L,637
L,57
L,44
L,58
R,63
L,13
L,83
L,98
R,393
L,17
R,51
R,42
R,92
R,58
R,21
L,13
L,1
L,99
L,13
L,50
L,290
L,47
R,46
L,498
L,348
R,83
R,53
L,36
R,91
L,91
R,69
R,563
R,95
R,46
R,27
L,80
R,29
L,66
L,69
R,95
L,743
R,85
R,49
L,15
R,357
L,42
L,924
L,76
R,62
R,9
R,886
L,57
L,27
R,27
R,57
R,76
R,71
R,96
L,862
R,82
R,380
R,51
L,44
L,707
L,96
L,16
L,40
R,52
R,68
L,15
L,11
L,653
R,16
L,5
L,89
L,61
R,450
L,89
L,11
L,13
R,502
R,588
L,17
L,60
R,65
L,52
R,37
R,96
R,54
L,54
L,9
L,137
L,80
R,980
L,907
L,93
L,75
R,75
L,36
R,238
L,2
R,69
L,69
L,547
L,53
L,7
L,573
R,19
R,61
L,13
L,92
R,10
L,798
R,593
R,88
R,95
L,44
L,23
R,71
R,13
R,53
R,47
L,7
R,85
R,84
L,92
L,57
R,242
R,45
L,75
L,25
R,4
R,96
R,29
R,19
L,917
L,10
L,98
L,23
L,71
R,773
R,66
R,496
R,34
L,960
R,782
R,353
L,73
R,972
L,72
L,909
L,91
R,16
L,16
L,95
R,85
L,79
R,89
R,97
L,64
R,95
R,55
L,283
R,36
L,205
R,518
R,68
R,62
L,51
R,16
R,56
R,41
R,59
R,46
R,963
L,93
R,84
R,57
R,43
R,5
L,605
R,35
R,518
L,53
